"index","工作內容"
19,"~~享勞保、勞退、免費用餐~~
＊ 五星級飯店內泳池的安全救護，健身器材使用教導說明。
＊ 水質管理與檢測。
＊ 環境區域清潔維護。
＊ 其他主管交辦事項。
＊ 須具備救生員執照。"
20,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、桃園市中壢區 長春三路

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、長春三路
週二~週五17-22
六日10-12，13-17，18-22

七月及八月
週二~週日10-12，13-17，18-22


✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
21,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市八里區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：依社區規定

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568找『林督導』。
三、LINE-lD 0956066568"
22,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：新北市樹林區 大雅路

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
五、六、九、十月  
週六~週日 1000-1300、1400-1700、1800-2100

七、八月                 
週二~週五 1400-1700、1800-2100
週六~週日 1000-1300、1400-1700、1800-2100

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
23,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：桃園市桃園區 大興西路二段

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段： 
週二~週五日14-18，19-22

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918找『甘督導』。
三、LINE-lD 0961530918"
24,"泳池安全維護及救生工作"
25,"1.維持泳池客戶安全與管理
2.機房巡視與基礎操作
3.水質管理與藥劑添加
5.主管交辦事項處裡
6.環境維護清潔"
26,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市林口區 文化三路一段
二、新北市林口區 文化二路二段
三、新北市林口區 忠孝三路
四、新北市林口區 文化三路二段
五、新北市林口區 文化三路二段

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、文化三路一段
週二~週五 1330-1730，1830-2130
六日0930-1230，1330-1730，1830-2130

二、文化二路二段
週二~週五14-18，19-2130
六日09-12，13-18，19-2130

三、忠孝三路
週二~週日08-12，13-20

四、文化三路二段
週二～週日10-12，1430-18，19-2130

五、文化三路二段
週二~週日14-21
                               
✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
27,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、中和區光復國小旁
二、中和區光復國小旁
三、中和區雙和醫院旁
四、中和區捷運景安站旁

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段： 
一、週三~週日 1430-1800、1900-2200

二、週三~週一 1400-2130

三、週二~週日 1000-1200、1400-1800、1900-2100

四、
五、六、九、十月，週二~週五 1900-2200，週六~週日 1000-1200、1400-1800、1900-2200
七、八月，週二~週日 1000-1200、1400-1800、1900-2200

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568 找『林督導』。
三、LINE-lD 0952094568"
28,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市北投區公館路
                       台北市北投區文林北路
                       台北市北投區中央北路
✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、五月起，依社區開放時間

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568 找『林督導』。
三、LINE-lD 0956066568"
29,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市士林區（臺北市立天文科學教育館旁）

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、6、9月週六~週日 1300-2100
二、7、8月週二~週日 1300-2100

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-094-568 找『林督導』。
三、LINE-lD 0952094568"
30,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、台北市信義區松德路

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、（5月未定）
五、六、九月   週六至週日 1400-2100
七、八月           週二至週日 1400-2100


✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952-182-918 找『楊督導』。
三、LINE-lD 0952182918"
31,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市新莊區 新北大道四段
二、新北市新莊區 福美街
三、新北市新莊區 頭成街
四、新北市新莊區 恩源路
五、新北市新莊區 福德三街
六、新北市新莊區 恩源路230巷
七、新北市新莊區 恩源路192巷

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、(6月未定)新北大道四段
週二~週日07-11，15-18，19-22

二、(6月未定)福美街
週二~週五16-21，六日07-11.14-21

三、(6月未定)頭成街
週二~週日14-18，19-22

四、（7月未定）思源路
週四、週五14-18，六日10-12、13-18、19-22

五、（7月未定）福德三街
週一～週五17-22，六日及國定13-21、每週四休館

六、（7月未定）思源路230巷
週一～週日14-18、19-21

七、（七月未定）思源路192巷
六日13-18、19-22
✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918找『甘督導』。
三、LINE-lD 0961530918"
32,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新店區家樂福新店店旁
二、新店區及人高級中學旁
三、新店區華城路上

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、
六月 週六~週日及國定 1400-1800、1900-2200
七、八月 週二~週日 0800-1200、1300-1700、1900-2200
九月 週六~週日及國定 0800-1200、1300-1700、1900-2200

二、
六、九、十月 週六~週日 0900-1200、1300-1700、1900-2200
七、八月 週二~週五 1900-2200，週六~週日 0900-1200、1300-1700、1900-2200

三、週二~週日 1300-2100

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568 找『林督導』。
三、LINE-lD 0952094568"
33,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、永利路
二、環河東路三段


✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段： 
一、
五、六、九、十月 週六~週日 1400-1700、1900-2200
七、八月 週二~週五 1400-1700、1900-2200，週六~週日 0900-1200、1400-1700、1900-2200

二、週二~週日1330-1800、1900-2130


✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568找『林督導』。
三、LINE-lD 0952094568"
34,"1.游泳池諮詢、服務、休閒活動指導。
2.泳池安全及衛生維護。
3.完成主管交付事項。
4.可排班。"
35,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺ 
☺無經驗可，肯學習可☺ 

工作地點：新北市三重區

✔工作內容： 
一、執行服務品質手冊表單內容。 
二、協助游泳教學相關業務推廣。 

工作時段：七月起依社區規定

✔休假制度：依公司規定 

✔具備條件： 
一、守時、認真負責、態度良好。 
二、配合度高、穩定度高。 
三、細心、親和力。 
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568找『林督導』。
三、LINE-lD 0956066568"
36,"1.巡邏建築物與周遭環境，留意可疑線索，確保門窗安全。
2.回應警報器並且調查引起警鈴的原因。
3.保護被保全之人或物的安全。
4.由監視器畫面監看出入份子，以確保建築物安全。
5.給予意圖不良人士或入侵者警告，必要時報警處理。"
37,"出入口管制，案場巡邏，案場監督維護"
38,"大直區域範圍保全PT日班"
39,"1.游泳池救生員安全工作.
2.硬體設備清潔維護工作.
2.具有救生員期限內證照."
40,"一、量體溫
二、門禁管制.訪客登記
三、安全巡邏防護
四、物品檢查放行
五、突發狀況回報處理"
41,"1.泳池安全維護
2.備救生員證書
3.體委會時薪200元"
42,"1.具備體育署核准的有效救生員執照
2.保持游泳池秩序與安全
3.具真誠服務熱忱的心
4.具備基本游泳池與健身房相關基本英文知識及溝通能力
5.合飯店的政策下,專業性的處理與客人的關係,並且確保所有客人的需求得到快速而有效的處理
6.期段:5:30-14:00/13:30-22:00(能配合早晚輪班者優先，早班另享早班津貼)
7.供膳食 / 制服"
43,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、桃園市桃園區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週日 0600-1200、1300-1800、1900-2400
二、週六~週日 1300-1700、1800-2200
三、週二~週日 1300-1700、1800-2200
四、週二~週日 1330-2130
✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
44,"新北市~淡水區~兼職救生員

需求人數：	2~4人

職務類別：	三溫暖人員

職務說明：	【鴻陽運動事業，專業、服務、品質】歡迎您的加入！

誠徵：守時、態度佳、負責任、主動學習、配合度高救生員

工作地點:新北市淡水區

工作時段：

週二-週五 1800-2200
週六-週日 1600-2200


星期一休館

時薪：160元

工作內容:
1-執行服務品質手冊表單內容
2-協助游泳教學相關業務推廣

應徵方式:
一、直接於網路投遞履歷。
二、電話應徵：0939-186-918 找『李督導』。
三、LINE-lD：0939186918"
45,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：新北市汐止區（北峰國小旁）

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週五 1800-2200 
二、週六~週日 1600-2000

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952182918找
『 楊督導』。
三、LINE-lD 0952182918"
46,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺ 
☺無經驗可，肯學習可☺ 

工作地點：
新北市蘆洲區

✔工作內容： 
一、執行服務品質手冊表單內容。 
二、協助游泳教學相關業務推廣。 

工作時段： 依社區規定

✔休假制度：依照公司規定

✔具備條件： 
一、守時、認真負責、態度良好。 
二、配合度高、穩定度高。 
三、細心、親和力。 
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0956066568找『林督導』。
三、LINE-lD 0956066568"
47,"（一）負責門禁管制、賣場巡邏、防竊作業及竊盜處理工作等安全維 
            護工作
（二）針對特定處所進行監視，維持公共安全，減少火災、竊盜或其他危險
（三）控制照明、取暖、空氣調節及通風等設備
（四）臨場反應靈敏。

二、上班時間
07:00-19:00(12H)

三、薪水
薪35000-36000元

四、休假
月排休8天

五、公司福利 
（一）勞保、健保(依法提撥) 
（二）團體人壽險、意外險 
（三）年節禮券 
（四）結婚補助金與結婚禮金 
（五）生育補助金 
（六）年終獎金 
（七）公司負擔6﹪退休金(依法提撥) 
（八）健康檢查 
（九）提供制服、不押保證金 
（十）提供專業教育訓練及核發證照 
（十一） 完整的人事管理與升遷制度"
48,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、台北市中山區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、二-五  07-10  14-17  19-22
        六-日  08-11  14-17  19-22
二、二-五  14-22
        六-日  10-18
✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568找『林督導』。
三、LINE-lD 0952094568"
49,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市永和區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週五 1400-1700、1930-2200、週六~週日 1000-1200、1400-1700、1930-2200
二、週一~週五 1400-2200、週六~週日 1000-2200

✔休假制度：依照公司規定

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568 找『林督導』。
三、LINE-lD 0952094568"
50,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市林口區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週五  1400-1700、1730-2200
        週六日及國定  1100-1700、1730-2200
二、週二~五  1400-1730、1830-2200
        週六日及國定  1000-1300、1400-1730
                                  1830-2200
三、週二~日  1400-1800、1900-2200

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
51,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：台北市萬華區
一、康定路
二、德昌街

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週日 0900-1200、1300-1700、1800-2100

二、6、9月週二~週五1900-2200 週六~週日0900~1200、1400~1800、1900~2200
7、8月週二~週日0900~1200 1400~1800、1900~2200

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0952094568 找『林督導』。
三、LINE-lD 0952094568"
52,"☺【鴻陽運動事業，專業、服務、品質】歡迎您的加入☺
☺無經驗可，肯學習可☺

✔工作地點：
一、新北市新莊區

✔工作內容：
一、執行服務品質手冊表單內容。
二、協助游泳教學相關業務推廣。

✔工作時段：
一、週二~週五 1500-2200、週六~週日 0900-1200、1300-1700、1800-2200

✔休假制度：每週一固定休假

✔具備條件：
一、守時、認真負責、態度良好。
二、配合度高、穩定度高。
三、細心、親和力。
四、有效期限內之救生員證

✔應徵方式：
一、直接於網路投遞履歷。
二、電話應徵0961-530-918 找『甘督導』。
三、LINE-lD 0961530918"
